groupID	featureID
ENSFALG00000010524	E021
ENSFALG00000010602	E005
ENSFALG00000010612	E001
ENSFALG00000010612	E002
ENSFALG00000010612	E005
ENSFALG00000010612	E007
ENSFALG00000010637	E042
ENSFALG00000010705	E003
ENSFALG00000010710	E001
ENSFALG00000010716	E029
ENSFALG00000010721	E005
ENSFALG00000010779	E003
ENSFALG00000010826	E002
ENSFALG00000010827	E002
ENSFALG00000010828	E001
ENSFALG00000010898	E006
ENSFALG00000010919	E018
ENSFALG00000010945	E004
ENSFALG00000010967	E008
ENSFALG00000010979	E003
ENSFALG00000010979	E014
ENSFALG00000010986	E002
ENSFALG00000011002	E017
ENSFALG00000011002	E018
ENSFALG00000011007	E012
ENSFALG00000011032	E007
ENSFALG00000011038	E003
ENSFALG00000011056	E008
ENSFALG00000011073	E002
ENSFALG00000011073	E016
ENSFALG00000011135	E017
ENSFALG00000011142	E004
ENSFALG00000011142	E007
ENSFALG00000011155	E018
ENSFALG00000011232	E007
ENSFALG00000011274	E024
ENSFALG00000011286	E013
ENSFALG00000011296	E003
ENSFALG00000011301	E038
ENSFALG00000011329	E002
ENSFALG00000011363	E009
ENSFALG00000011370	E008
ENSFALG00000011385	E006
ENSFALG00000011390	E001
ENSFALG00000011390	E021
ENSFALG00000011390	E026
ENSFALG00000011413	E008
ENSFALG00000011463	E002
ENSFALG00000011463	E004
ENSFALG00000011469	E008
ENSFALG00000011549	E016
ENSFALG00000011608	E006
ENSFALG00000011618	E007
ENSFALG00000011618	E008
ENSFALG00000011625	E063
ENSFALG00000011650	E006
ENSFALG00000011675	E001
ENSFALG00000011696	E012
ENSFALG00000011707	E013
ENSFALG00000011707	E014
ENSFALG00000011707	E015
ENSFALG00000011723	E016
ENSFALG00000011820	E001
ENSFALG00000011820	E013
ENSFALG00000011845	E020
ENSFALG00000011877	E009
ENSFALG00000011897	E002
ENSFALG00000011945	E123
ENSFALG00000011987	E012
ENSFALG00000012056	E008
ENSFALG00000012111	E009
ENSFALG00000012122	E002
ENSFALG00000012125	E007
ENSFALG00000012173	E001
ENSFALG00000012173	E012
ENSFALG00000012214	E022
ENSFALG00000012258	E002
ENSFALG00000012264	E002
ENSFALG00000012277	E002
ENSFALG00000012291	E015
ENSFALG00000012352	E002
ENSFALG00000012352	E011
ENSFALG00000012360	E024
ENSFALG00000012400	E016
ENSFALG00000012403	E001
ENSFALG00000012403	E005
ENSFALG00000012418	E003
ENSFALG00000012481	E009
ENSFALG00000012569	E019
ENSFALG00000012653	E003
ENSFALG00000012688	E004
ENSFALG00000012736	E008
ENSFALG00000012736	E009
ENSFALG00000012757	E008
ENSFALG00000012757	E013
ENSFALG00000012762	E012
ENSFALG00000012829	E008
ENSFALG00000012833	E006
ENSFALG00000012839	E001
ENSFALG00000012839	E002
ENSFALG00000012839	E011
ENSFALG00000012839	E019
ENSFALG00000012884	E008
ENSFALG00000012899	E012
ENSFALG00000012903	E009
ENSFALG00000012903	E014
ENSFALG00000012904	E022
ENSFALG00000012940	E001
ENSFALG00000012948	E004
ENSFALG00000012991	E001
ENSFALG00000012991	E013
ENSFALG00000012991	E078
ENSFALG00000012992	E010
ENSFALG00000013003	E007
ENSFALG00000013017	E010
ENSFALG00000013026	E002
ENSFALG00000013046	E005
ENSFALG00000013093	E003
ENSFALG00000013099	E028
ENSFALG00000013201	E002
ENSFALG00000013273	E001
ENSFALG00000013275	E035
ENSFALG00000013352	E048
ENSFALG00000013399	E009
ENSFALG00000013402	E001
ENSFALG00000013431	E036
ENSFALG00000013526	E003
ENSFALG00000013528	E010
ENSFALG00000013561	E008
ENSFALG00000013579	E043
ENSFALG00000013600	E003
ENSFALG00000013631	E009
ENSFALG00000013656	E005
ENSFALG00000013672	E001
ENSFALG00000013672	E004
ENSFALG00000013672	E006
ENSFALG00000013678	E029
ENSFALG00000013682	E007
ENSFALG00000013682	E008
ENSFALG00000013689	E021
ENSFALG00000013690	E001
ENSFALG00000013697	E001
ENSFALG00000013702	E007
ENSFALG00000013756	E011
ENSFALG00000013775	E006
ENSFALG00000013804	E003
ENSFALG00000013869	E003
ENSFALG00000013871	E001
ENSFALG00000013888	E020
ENSFALG00000013902	E005
ENSFALG00000013961	E008
ENSFALG00000013964	E055
ENSFALG00000013965	E007
ENSFALG00000014021	E133
ENSFALG00000014025	E006
ENSFALG00000014038	E009
ENSFALG00000014054	E001
ENSFALG00000014067	E007
ENSFALG00000014946	E001
ENSFALG00000014946	E002
ENSFALG00000016456	E002
ENSFALG00000017843	E001
ENSFALG00000017843	E002
ENSFALG00000022860	E007
ENSFALG00000022929	E004
ENSFALG00000022938	E002
ENSFALG00000022938	E003
ENSFALG00000022968	E002
ENSFALG00000023026	E001
ENSFALG00000023084	E001
ENSFALG00000023123	E009
ENSFALG00000023131	E001
ENSFALG00000023145	E006
ENSFALG00000023173	E001
ENSFALG00000023184	E005
ENSFALG00000023232	E001
ENSFALG00000023337	E005
ENSFALG00000023412	E005
ENSFALG00000023428	E007
ENSFALG00000023428	E008
ENSFALG00000023485	E001
ENSFALG00000023485	E002
ENSFALG00000023516	E009
ENSFALG00000023552	E003
ENSFALG00000023608	E005
ENSFALG00000023619	E006
ENSFALG00000023677	E002
ENSFALG00000023693	E003
ENSFALG00000023702	E002
ENSFALG00000023731	E001
ENSFALG00000023731	E002
ENSFALG00000023769	E009
ENSFALG00000023772	E001
ENSFALG00000023788	E003
ENSFALG00000023801	E007
ENSFALG00000023888	E010
ENSFALG00000023888	E011
ENSFALG00000023888	E015
ENSFALG00000023960	E003
ENSFALG00000023963	E004
ENSFALG00000023963	E014
ENSFALG00000024129	E002
ENSFALG00000024215	E006
ENSFALG00000024308	E002
ENSFALG00000024336	E010
ENSFALG00000024377	E001
ENSFALG00000024377	E002
ENSFALG00000024400	E005
ENSFALG00000024455	E005
ENSFALG00000024455	E006
ENSFALG00000024563	E001
ENSFALG00000024563	E002
ENSFALG00000024568	E004
ENSFALG00000024648	E006
ENSFALG00000024680	E001
ENSFALG00000024685	E009
ENSFALG00000024739	E001
ENSFALG00000024818	E004
ENSFALG00000024844	E001
ENSFALG00000024844	E003
ENSFALG00000024875	E001
ENSFALG00000024875	E002
ENSFALG00000024924	E004
ENSFALG00000024931	E006
ENSFALG00000024976	E009
ENSFALG00000024981	E001
ENSFALG00000024981	E009
ENSFALG00000025116	E003
ENSFALG00000025387	E001
ENSFALG00000025387	E007
ENSFALG00000025389	E014
ENSFALG00000025526	E002
ENSFALG00000025526	E006
ENSFALG00000025643	E001
ENSFALG00000025648	E001
ENSFALG00000025648	E002
ENSFALG00000025749	E001
ENSFALG00000025749	E002
