cluster	genes
chrN00051:clu_13944_+	ENSFALG00000006217
chrN00052:clu_14132_+	ENSFALG00000026912
chrN00052:clu_14136_+	ENSFALG00000006731,ENSFALG00000006748
chrN00052:clu_14261_-	ENSFALG00000005874
chrN00052:clu_14298_-	ENSFALG00000006061
chrN00052:clu_14301_-	ENSFALG00000006112
chrN00053:clu_14429_-	ENSFALG00000003646
chrN00054:clu_14584_+	ENSFALG00000012617
chrN00054:clu_14603_-	ENSFALG00000012167
chrN00054:clu_14658_-	ENSFALG00000012727
chrN00055:clu_14729_-	ENSFALG00000001654
chrN00056:clu_14776_-	ENSFALG00000022859
chrN00056:clu_14825_-	ENSFALG00000009829
chrN00056:clu_14871_-	ENSFALG00000010520
chrN00056:clu_14872_-	ENSFALG00000010520
chrN00057:clu_15105_-	ENSFALG00000008831
chrN00058:clu_15231_+	ENSFALG00000008884
chrN00058:clu_15232_+	ENSFALG00000008884
chrN00061:clu_15492_-	ENSFALG00000000215
chrN00061:clu_15564_+	NA
chrN00062:clu_15591_+	ENSFALG00000012570
chrN00062:clu_15607_-	ENSFALG00000012307
chrN00063:clu_15712_+	NA
chrN00063:clu_15722_-	ENSFALG00000028509
chrN00064:clu_15963_-	NA
chrN00065:clu_16130_-	ENSFALG00000000994
chrN00066:clu_16212_-	ENSFALG00000027113
chrN00067:clu_16353_+	ENSFALG00000012292
chrN00067:clu_16359_+	NA
chrN00067:clu_16361_+	ENSFALG00000012370
chrN00068:clu_16447_+	NA
chrN00068:clu_16562_+	ENSFALG00000001403
chrN00069:clu_16683_+	ENSFALG00000001912
chrN00070:clu_16824_-	NA
chrN00071:clu_16872_-	ENSFALG00000002131
chrN00071:clu_16894_+	NA
chrN00071:clu_16902_+	ENSFALG00000002015
chrN00071:clu_16903_+	ENSFALG00000002020
chrN00071:clu_16905_+	ENSFALG00000002020
chrN00071:clu_16909_+	ENSFALG00000002022
chrN00071:clu_16935_+	ENSFALG00000002103
chrN00072:clu_17010_+	ENSFALG00000002329
chrN00072:clu_17031_+	NA
chrN00072:clu_17040_-	ENSFALG00000025656
chrN00072:clu_17098_-	ENSFALG00000002500
chrN00073:clu_17171_+	ENSFALG00000005752
chrN00074:clu_17320_-	ENSFALG00000011171
chrN00075:clu_17385_-	ENSFALG00000025847
chrN00075:clu_17489_+	ENSFALG00000002448
chrN00075:clu_17490_+	ENSFALG00000002448
chrN00075:clu_17568_+	ENSFALG00000003600
chrN00076:clu_17602_-	ENSFALG00000013189
chrN00076:clu_17642_+	ENSFALG00000013077
chrN00076:clu_17657_+	ENSFALG00000013179
chrN00077:clu_17684_+	NA
chrN00077:clu_17697_+	ENSFALG00000010986
chrN00077:clu_17704_+	ENSFALG00000024268
chrN00078:clu_17791_-	ENSFALG00000027375
chrN00079:clu_17872_-	ENSFALG00000001812
chrN00080:clu_17994_+	NA
