intron	logef	Ficedula_hypoleuca	F1_hybrid	deltapsi
chrN00001:16052017:16052164:clu_134_+	-0.581922404650989	0.951737475748212	0.860300620537163	-0.0914368552110495
chrN00001:16052277:16053529:clu_135_+	0.666988435081257	0.00058896056518005	0.00223208332624151	0.00164312276106146
chrN00001:16052277:16053846:clu_135_+	-0.666988435081257	0.99941103943482	0.997767916673758	-0.0016431227610616
chrN00001:16259734:16260892:clu_141_+	-0.449256593417062	0.0211725993954763	0.00927889195219198	-0.0118937074432843
chrN00001:16259734:16261676:clu_141_+	0.391487902404027	0.966083679143099	0.981448188517251	0.0153645093741522
chrN00001:16261018:16261676:clu_141_+	0.0577686910130353	0.0127437214614248	0.00927291953055673	-0.00347080193086804
chrN00001:16270503:16271382:clu_142_+	-0.288309433771548	0.978276907872026	0.961976954246604	-0.0162999536254217
chrN00001:16270503:16276747:clu_142_+	0.288309433771548	0.0217230921279742	0.0380230457533958	0.0162999536254216
chrN00001:16493982:16494320:clu_147_+	-0.162831062075785	0.0690756713760667	0.0508523744896507	-0.018223296886416
chrN00001:16493982:16495057:clu_147_+	0.162831062075785	0.930924328623933	0.949147625510349	0.0182232968864159
chrN00001:16684268:16685912:clu_148_+	-0.657216160865042	0.696510963695302	0.632704184297143	-0.0638067793981587
chrN00001:16684268:16686874:clu_148_+	1.04949424124024	0.00208778245567751	0.0104513623058434	0.00836357985016589
chrN00001:16686251:16686874:clu_148_+	-0.392278080375197	0.30140125384902	0.356844453397013	0.0554431995479928
chrN00001:16687084:16687989:clu_149_+	-0.729598247703002	0.0136487854720549	0.00593216714721689	-0.00771661832483802
chrN00001:16687084:16688416:clu_149_+	0.09409948792118	0.962313825133695	0.953154885390226	-0.0091589397434696
chrN00001:16688091:16688416:clu_149_+	0.635498759781822	0.0240373893942498	0.0409129474625575	0.0168755580683077
chrN00001:16948369:16977642:clu_152_+	-0.158319355168989	0.270367362095894	0.201742442150545	-0.0686249199453494
chrN00001:16948369:17001860:clu_152_+	-0.0668145945488624	0.149075367245555	0.121895847309229	-0.027179519936326
chrN00001:16948369:17029070:clu_152_+	-0.349210819119384	0.0202531613279189	0.0124862700270303	-0.00776689130088863
chrN00001:16977703:17001860:clu_152_+	0.195426686060868	0.240983451257389	0.256129843173659	0.0151463919162702
chrN00001:17001957:17029070:clu_152_+	0.378918082776367	0.319320658073243	0.407745597339537	0.088424939266294
chrN00001:18479784:18480329:clu_157_+	-0.159895036562645	0.0657075862324961	0.0485974986058637	-0.0171100876266324
chrN00001:18479847:18480329:clu_157_+	0.159895036562645	0.934292413767504	0.951402501394136	0.0171100876266324
